636A Beihai             China               1975 21290N 109050E 0000 3 00000R MM
636A Beih  197504022 4070 4420 4530 4470 4230 3850 3310 2770 2290 1870 1540 1290
636A Beih  197504031 1160 1180 1310 1470 1650 1820 1950 2080 2270 2540 2900 3280
636A Beih  197504032 3710 4110 4380 4470 4380 4150 3770 3290 2820 2370 2000 1690
636A Beih  197504041 1450 1310 1260 1320 1490 1690 1900 2090 2270 2450 2650 2940
636A Beih  197504042 3290 3650 3990 4190 4270 4200 3960 3600 3170 2770 2350 1980
636A Beih  197504051 1620 1350 1190 1130 1220 1430 1650 1870 2080 2240 2400 2610
636A Beih  197504052 2890 3180 3470 3820 4030 4100 4010 3790 3470 3060 2660 2280
636A Beih  197504061 1940 1610 1340 1190 1170 1270 1510 1750 1930 2090 2230 2360
636A Beih  197504062 2540 2790 3060 3340 3630 3840 3960 3940 3740 3430 3090 2720
636A Beih  197504071 2360 2060 1790 1590 1490 1520 1670 1840 2020 2170 2240 2300
636A Beih  197504072 2350 2460 2590 2780 3030 3270 3470 3640 3620 3430 2970 2620
636A Beih  197504081 2310 1940 1660 1490 1410 1430 1520 1700 1940 2160 2290 2290
636A Beih  197504082 2160 2050 2070 2230 2450 2690 2950 3210 3430 3550 3450 3220
636A Beih  197504091 2930 2570 2220 1970 1830 1830 1990 2150 2320 2480 2560 2540
636A Beih  197504092 2410 2260 2100 1980 2050 2310 2600 2930 3220 3420 3490 3360
636A Beih  197504101 3080 2790 2480 2210 2020 1990 2120 2320 2550 2750 2810 2720
636A Beih  197504102 2520 2260 1990 1740 1620 1660 1890 2260 2660 3010 3230 3280
636A Beih  197504111 3160 2940 2690 2450 2240 2160 2290 2530 2810 3040 3150 3050
636A Beih  197504112 2810 2470 2090 1720 1470 1330 1250 1360 1680 2220 2520 2800
636A Beih  197504121 2760 2740 2530 2240 2200 2210 2290 2650 2920 3210 3400 3380
636A Beih  197504122 3220 2900 2480 2070 1680 1370 1250 1280 1430 1610 2180 2420
636A Beih  197504131 2580 2600 2520 2480 2470 2510 2650 3040 3170 3510 3750 3860
636A Beih  197504132 3720 3340 2860 2360 1920 1480 1170  920  980 1210 1610 1850
636A Beih  197504141 1900 1920 2070 1920 1810 1950 2200 2470 2850 3210 3550 3770
636A Beih  197504142 3790 3490 2990 2600 2120 1620 1130  880  680  640 1000 1250
636A Beih  197504151 1480 2090 2170 2140 2180 2340 2560 2780 3030 3370 3730 4000
636A Beih  197504152 4230 4180 3860 3380 2870 2340 1850 1460 1130  990 1000 1170
636A Beih  197504161 1450 1750 1930 2040 2130 2240 2420 2640 2950 3310 3710 4060
636A Beih  197504162 4260 4310 4130 3760 3270 2740 2210 1770 1350 1040  890  910
636A Beih  197504171 1050 1270 1530 1740 1880 1980 2160 2420 2710 3060 3470 3880
636A Beih  197504172 4210 4370 4330 4110 3710 3240 2740 2250 1830 1410 1110  950
636A Beih  197504181  950 1080 1270 1480 1670 1830 2000 2200 2450 2780 3150 3570
636A Beih  197504182 3930 4210 4360 4260 4010 3630 3160 2680 2220 1820 1460 1140
636A Beih  197504191 1000 1010 1100 1270 1500 1700 1870 2040 2240 2500 2790 3160
636A Beih  197504192 3510 3860 4100 4150 4080 3850 3430 2970 2500 2090 1670 1300
636A Beih  197504201 1030  870  870  980 1180 1420 1640 1810 1970 2150 2420 2710
636A Beih  197504202 3040 3430 3760 4010 4100 4040 3870 3530 3120 2680 2240 1870
636A Beih  197504211 1540 1260 1140 1130 1230 1430 1660 1850 1980 2070 2200 2370
636A Beih  197504212 2590 2850 3160 3470 3730 3890 3920 3810 3530 3150 2720 2310
636A Beih  197504221 1930 1670 1460 1380 1460 1650 1890 2080 2160 2180 2140 2140
636A Beih  197504222 2190 2300 2500 2780 3050 3370 3590 3700 3670 3510 3150 2730
636A Beih  197504231 2330 1960 1730 1630 1760 1990 2260 2490 2620 2640 2520 2340
636A Beih  197504232 2170 2020 1970 2110 2370 2750 3120 3410 3580 3600 3460 3190
636A Beih  197504241 2820 2450 2130 1970 1990 2230 2610 2940 3170 3200 3050 2810
636A Beih  197504242 2470 2090 1740 1530 1550 1810 2200 2650 3040 3350 3460 3360
636A Beih  197504251 3160 2930 2660 2420 2360 2530 2920 3350 3710 3910 3790 3470
636A Beih  197504252 3070 2570 2040 1560 1210 1030 1160 1550 2030 2480 2770 2920
636A Beih  197504261 2950 2800 2670 2620 2640 2750 3080 3540 3980 4310 4410 4170
636A Beih  197504262 3790 3290 2710 2130 1610 1150  860  870 1160 1610 2040 2340
636A Beih  197504271 2540 2590 2550 2540 2620 2790 3070 3460 3920 4350 4620 4640
636A Beih  197504272 4410 3960 3380 2770 2190 1640 1180  820  780  960 1300 1660
636A Beih  197504281 1930 2130 2220 2260 2350 2550 2840 3220 3650 4100 4500 4730
636A Beih  197504282 4680 4360 3870 3270 2670 2080 1550 1070  700  600  710 1010
636A Beih  197504291 1310 1650 1860 2110 2060 2110 2510 2870 3300 3730 4150 4470
636A Beih  197504292 4650 4530 4160 3720 3160 2560 2040 1540 1080  760  670  730
636A Beih  197504301  990 1250 1520 1760 1910 2100 2370 2700 3070 3470 3910 4290
636A Beih  197504302 4550 4600 4450 4100 3630 3110 2570 2110 1660 1280  890  830
636A Beih  197505011  920 1160 1480 1700 1900 2070 2240 2480 2790 3120 3540 3940
636A Beih  197505012 4260 4470 4460 4310 3960 3500 3020 2510 2080 1680 1350 1130
636A Beih  197505021 1070 1120 1290 1540 1780 1970 2150 2350 2550 2820 3130 3500
636A Beih  197505022 3890 4170 4310 4250 4080 3770 3370 2940 2490 2100 1700 1410
636A Beih  197505031 1210 1150 1210 1390 1640 1870 2070 2230 2370 2550 2790 3110
636A Beih  197505032 3410 3700 3940 4060 4010 3810 3510 3150 2750 2350 2020 1700
636A Beih  197505041 1420 1310 1290 1400 1590 1820 2040 2210 2340 2460 2590 2780
636A Beih  197505042 3040 3260 3500 3680 3780 3720 3540 3250 2900 2540 2210 1890
636A Beih  197505051 1610 1510 1440 1480 1630 1850 2070 2260 2370 2450 2490 2530
636A Beih  197505052 2600 2780 2980 3170 3320 3370 3360 3260 3020 2680 2320 2040
636A Beih  197505061 1770 1550 1480 1530 1620 1830 2110 2360 2460 2460 2480 2510
636A Beih  197505062 2510 2540 2640 2820 3000 3160 3280 3320 3240 3080 2800 2490
636A Beih  197505071 2190 1950 1830 1880 2050 2290 2520 2740 2860 2880 2810 2710
636A Beih  197505072 2570 2440 2350 2390 2560 2790 2970 3150 3250 3190 2980 2720
636A Beih  197505081 2500 2300 2130 2120 2300 2580 2900 3180 3330 3330 3200 2960
636A Beih  197505082 2660 2340 2060 1920 1880 2010 2240 2540 2810 2940 2900 2750
636A Beih  197505091 2520 2370 2260 2270 2410 2710 3090 3410 3680 3790 3680 3320
636A Beih  197505092 2920 2510 2080 1710 1490 1430 1530 1750 2050 2360 2560 2610
636A Beih  197505101 2580 2490 2400 2420 2540 2820 3170 3490 3860 4030 3970 3740
636A Beih  197505102 3350 2840 2320 1840 1450 1190 1120 1200 1450 1780 2030 2260
636A Beih  197505111 2340 2360 2240 2300 2480 2670 2970 3310 3670 3950 4100 3990
636A Beih  197505112 3610 3140 2600 2060 1600 1160  860  810  900 1160 1460 1780
636A Beih  197505121 2030 2140 2210 2310 2500 2780 3120 3510 3910 4240 4440 4440
636A Beih  197505122 4230 3780 3230 2650 2110 1640 1220  970  920 1000 1250 1540
636A Beih  197505131 1840 2020 2130 2240 2380 2640 2990 3400 3830 4230 4500 4570
636A Beih  197505132 4450 4130 3610 3020 2440 1930 1450 1080  850  830  910 1180
636A Beih  197505141 1510 1770 1900 1980 2160 2470 2780 3150 3610 4090 4490 4690
636A Beih  197505142 4690 4450 4050 3520 2960 2410 1920 1430 1040  870  840 1000
636A Beih  197505151 1220 1460 1690 1880 2050 2260 2560 2940 3340 3800 4240 4560
636A Beih  197505152 4710 4640 4350 3890 3370 2830 2300 1810 1390 1060  850  890
636A Beih  197505161 1050 1300 1570 1750 1910 2080 2300 2600 3000 3420 3860 4270
636A Beih  197505162 4520 4640 4540 4240 3750 3240 2740 2230 1770 1350 1090  950
